source_ip,destination_ip,protocol,port,domain,risk
2001:4860:4802:32::3,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58929,,unknown
2607:f8b0:4007:809::2002,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,62901,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2600:9000:24ba:4000:1:5a19:8b40:93a1,TCP,443,,low
2600:9000:24ba:4000:1:5a19:8b40:93a1,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,56974,,unknown
2607:f8b0:4007:803::2002,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,53912,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2620:100:a005::d,TCP,443,,low
2620:100:a005::d,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,57660,,unknown
2620:100:a005::d,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,57663,,unknown
2602:803:c001::200:144,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,56956,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2600:9000:2864:a00:6:e98:4640:93a1,TCP,443,,low
2600:9000:2864:a00:6:e98:4640:93a1,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,56977,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2607:f8b0:4007:80a::200a,TCP,443,,low
2607:f8b0:4007:80a::200a,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,57445,,unknown
2607:f8b0:4007:814::200e,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,57435,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2a02:6b8:23::225,TCP,443,,low
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2600:9000:249b:f200:10:3798:4a80:93a1,TCP,443,,low
2600:9000:249b:f200:10:3798:4a80:93a1,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,57448,,unknown
2a02:6b8:23::225,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58498,,unknown
2607:f8b0:4007:80f::2004,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,63057,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2600:1f18:1aca:4281:4b4e:1d55:3209:a823,TCP,443,,low
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2600:1406:bc00:687::1e80,TCP,443,,low
2600:1f18:1aca:4281:4b4e:1d55:3209:a823,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,57568,,unknown
2600:1406:bc00:687::1e80,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58633,,unknown
2607:f8b0:4007:814::2002,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,62237,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2607:f8b0:4023:1411::5e,TCP,443,,low
2607:f8b0:4023:1411::5e,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,57338,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2600:9000:265c:f000:1:9777:c740:21,TCP,443,,low
2600:9000:265c:f000:1:9777:c740:21,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58632,,unknown
2620:100:a005::d,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,57541,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2001:6d0:4001::226,TCP,443,,low
2001:6d0:4001::226,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58516,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2620:100:a005::2c,TCP,443,,low
2620:100:a005::2c,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58956,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2620:112:f006:bbbb::12,TCP,443,,low
2620:112:f006:bbbb::12,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58958,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2a02:6b8::36,TCP,443,,low
2a02:6b8::1:119,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,57492,,unknown
2a02:6b8::36,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,57596,,unknown
2600:1f13:d60:4f05:14cf:41b9:a88f:22aa,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58959,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2607:f8b0:4007:815::2001,TCP,443,,low
2607:f8b0:4007:815::2001,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,57520,,unknown
2600:1406:4e00:8::17dc:4bc5,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58641,,unknown
2001:6d0:4001::226,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58659,,unknown
